location,geo_lat,geo_long,number_of_rooms,number_of_toilets,surface_size,price
3.0,20.9978386,105.8164233,2.0,2.0,45.0,940.0
3.0,20.999387741088867,105.80726623535156,2.0,2.0,62.7,1692.9
26.0,10.80556,106.6478,3.0,2.0,93.0,2450.0
11.0,10.7340344,106.72157870000001,2.0,2.0,97.0,1550.0
11.0,10.71439,106.74220000000003,2.0,2.0,86.0,1420.0
3.0,21.0041538497577,105.81500589847599,2.0,2.0,130.0,4290.0
11.0,10.714806810578,106.74149141972703,2.0,2.0,51.0,1326.0
3.0,21.027835,105.852276,2.0,2.0,103.0,4500.0
11.0,10.73394,106.7375,2.0,2.0,69.0,1000.0
11.0,10.714860916137695,106.74143981933594,2.0,2.0,79.0,1900.0
3.0,21.027835,105.852276,3.0,2.0,115.0,3220.0
29.0,21.0294216,105.83206689999997,2.0,1.0,55.5,827.0
29.0,21.0294216,105.83206689999997,2.0,2.0,73.6,920.0
24.0,10.7603645324707,106.68082427978493,3.0,2.0,104.0,4680.0
11.0,10.733942031860352,106.737548828125,1.0,1.0,46.0,676.2
3.0,20.99939,105.8073,3.0,2.0,111.5,2676.0
3.0,20.99939,105.8073,3.0,2.0,103.9,2389.7
3.0,20.99939,105.8073,2.0,2.0,85.5,2223.0
3.0,20.99939,105.8073,2.0,2.0,85.5,2180.3
7.0,21.01206,105.7751,2.0,2.0,85.0,2800.0
7.0,21.01206,105.7751,2.0,2.0,85.0,2805.0
7.0,21.0790156,105.76345089999995,4.0,2.0,128.0,3456.0
7.0,21.012056350708008,105.7751235961914,2.0,2.0,85.0,2422.5
29.0,21.00566923993335,105.7331433227539,2.0,2.0,65.0,845.0
7.0,21.0360261,105.7709625,3.0,2.0,128.0,3264.0
7.0,21.004299,105.798677,1.0,1.0,31.0,490.0
29.0,21.0050283,105.76993649999997,2.0,2.0,65.0,942.5
7.0,21.01206,105.7751,3.0,2.0,117.0,3334.5
7.0,21.01206,105.7751,3.0,2.0,118.3,3963.0
7.0,21.03118,105.779,4.0,2.0,118.3,2780.0
7.0,21.03118,105.779,3.0,2.0,125.5,2949.3
7.0,21.0302318,105.77993850000007,2.0,2.0,96.0,2668.8
7.0,21.0174351,105.780396,3.0,2.0,114.0,3648.0
7.0,21.0360261,105.7709625,3.0,2.0,119.0,4165.0
7.0,21.046723,105.74843120000003,2.0,2.0,87.3,2880.9
7.0,21.046723,105.74843120000003,3.0,2.0,143.5,4448.5
7.0,21.046723,105.74843120000003,3.0,2.0,116.9,3740.8
7.0,21.046723,105.74843120000003,3.0,2.0,116.9,3740.8
7.0,21.0027,105.7924,3.0,2.0,111.9,3580.8
7.0,21.016793,105.780572,3.0,2.0,111.9,4300.0
7.0,21.0027,105.7924,2.0,2.0,87.3,2924.5
7.0,21.00463,105.7918,3.0,3.0,161.0,6279.0
7.0,20.9907,105.7878,3.0,2.0,99.4,2286.2
7.0,21.00274897855812,105.7926523685453,3.0,2.0,111.0,3552.0
7.0,21.046723,105.74843120000003,2.0,2.0,91.0,3458.0
7.0,21.016235550312295,105.78103125095367,2.0,1.0,86.0,2322.0
7.0,21.0161448,105.7790996,2.0,2.0,85.0,2422.5
7.0,21.01499,105.7827,4.0,1.0,35.0,590.0
7.0,21.01499,105.7827,2.0,1.0,35.0,650.0
7.0,21.0161448,105.7790996,2.0,2.0,85.0,2465.0
7.0,21.027835,105.852276,3.0,2.0,117.0,3217.5
8.0,10.8171042,106.58872489999999,2.0,2.0,82.0,1590.0
7.0,21.0360261,105.7709625,1.0,1.0,35.0,600.0
7.0,21.046723,105.74843120000003,2.0,2.0,77.3,1739.3
7.0,21.027835,105.852276,3.0,2.0,91.0,2050.0
7.0,21.01465508197109,105.78082497459104,1.0,1.0,34.0,590.0
7.0,21.013047644684633,105.78173160552979,1.0,1.0,35.0,700.0
7.0,21.027835,105.852276,2.0,2.0,81.0,1741.5
7.0,21.00491,105.7772,2.0,2.0,79.0,1698.5
7.0,21.0520539,105.74685350000004,2.0,2.0,90.0,1350.0
7.0,20.990672818577085,105.78828275203705,3.0,2.0,96.5,1978.3
8.0,10.79563,106.6937,2.0,1.0,52.0,1350.0
8.0,10.79563,106.6937,2.0,1.0,52.0,1300.0
8.0,10.79563,106.6937,2.0,1.0,52.0,1300.0
8.0,10.805496,106.71285119999993,2.0,2.0,72.0,1500.0
8.0,10.805496,106.71285119999993,2.0,2.0,73.0,1450.0
7.0,20.9908123,105.783913,2.0,2.0,82.5,1815.0
7.0,20.99081,105.7839,3.0,2.0,107.0,2568.0
8.0,10.8105831,106.70914219999997,2.0,1.0,57.0,1320.0
8.0,10.79563,106.6937,2.0,1.0,54.0,1420.0
7.0,21.027835,105.852276,1.0,1.0,32.0,590.0
8.0,10.8105831,106.70914219999997,2.0,1.0,57.0,1320.0
8.0,10.795725305571594,106.69393277168251,3.0,1.0,70.0,1200.0
8.0,10.8105831,106.70914219999997,2.0,2.0,72.0,1500.0
7.0,21.027835,105.852276,2.0,2.0,70.0,1680.0
8.0,10.805496,106.71285119999993,2.0,2.0,75.0,1500.0
7.0,21.01499,105.7827,2.0,1.0,35.0,650.0
7.0,21.0048477,105.80392489999997,2.0,2.0,91.0,2184.0
8.0,10.794527248129487,106.7227253913876,1.0,1.0,54.3,1900.0
8.0,10.7896574,106.69683009999994,2.0,2.0,71.0,1590.0
7.0,21.0360261,105.7709625,1.0,1.0,35.0,610.0
7.0,21.0048477,105.80392489999997,2.0,2.0,91.0,2366.0
8.0,10.8105831,106.70914219999997,3.0,2.0,96.0,1800.0
8.0,10.8105831,106.70914219999997,3.0,2.0,96.0,1800.0
8.0,10.805496,106.71285119999993,2.0,2.0,54.0,1430.0
8.0,10.805496,106.71285119999993,2.0,2.0,73.0,1470.0
7.0,20.9896564,105.798989,3.0,2.0,133.0,3258.5
8.0,10.80163,106.7221,2.0,1.0,70.0,1480.0
8.0,10.80163,106.7221,2.0,1.0,70.0,1500.0
8.0,10.8170723,106.58879760000002,2.0,2.0,72.0,1470.0
8.0,10.8170723,106.58879760000002,2.0,2.0,72.0,1470.0
8.0,10.8170723,106.58879760000002,2.0,2.0,72.0,1470.0
8.0,10.8170723,106.58879760000002,2.0,2.0,72.0,1470.0
8.0,10.8170723,106.58879760000002,3.0,2.0,99.0,1800.0
8.0,10.8003438,106.7209795,1.0,1.0,48.0,1200.0
8.0,10.8024,106.7197,2.0,2.0,68.0,1900.0
8.0,10.80979,106.7121,2.0,2.0,53.4,1500.0
8.0,10.8105831,106.70914219999997,3.0,3.0,135.0,5100.0
8.0,10.790250201400367,106.72050666809082,2.0,2.0,85.0,3500.0
8.0,10.7945377871202,106.722457170486,1.0,1.0,50.0,1800.0
20.0,10.8000471,106.58685349999996,2.0,2.0,72.0,1620.0
8.0,10.79449,106.7226,2.0,2.0,77.0,3500.0
8.0,10.8113273,106.69678780000004,2.0,2.0,65.0,1600.0
8.0,10.8113273,106.69678780000004,2.0,2.0,63.0,1500.0
8.0,10.8113273,106.69678780000004,2.0,2.0,71.0,1500.0
20.0,10.8105831,106.70914219999997,2.0,2.0,71.0,1600.0
20.0,10.8105831,106.70914219999997,2.0,2.0,75.0,1600.0
20.0,10.8105831,106.70914219999997,2.0,2.0,73.0,1600.0
8.0,10.8113273,106.69678780000004,2.0,2.0,72.0,1500.0
8.0,10.79449,106.7226,2.0,2.0,62.0,2500.0
7.0,21.0360261,105.7709625,3.0,2.0,106.0,3604.0
8.0,10.8105831,106.70914219999997,3.0,2.0,81.0,1750.0
8.0,10.8105831,106.70914219999997,2.0,2.0,56.0,1430.0
8.0,10.8105831,106.70914219999997,2.0,1.0,56.0,1400.0
8.0,10.8105831,106.70914219999997,2.0,1.0,68.0,1650.0
8.0,10.8428402,106.82868510000003,2.0,1.0,68.0,1530.0
8.0,10.8003843,106.70827589999999,1.0,1.0,40.0,1250.0
8.0,10.8105831,106.70914219999997,2.0,2.0,81.0,1750.0
8.0,10.8007983,106.71640239999999,3.0,2.0,123.0,4700.0
8.0,10.800078613698158,106.71855187416043,1.0,1.0,56.0,2590.0
8.0,10.8003843,106.70827589999999,1.0,1.0,40.0,1250.0
8.0,10.8001451,106.7017,3.0,2.0,83.0,1730.0
8.0,10.790844917297363,106.71070098876953,2.0,1.0,70.0,1350.0
8.0,10.8105831,106.70914219999997,2.0,1.0,68.0,1690.0
7.0,21.01744,105.7804,3.0,2.0,132.0,4356.0
8.0,10.8105831,106.70914219999997,2.0,1.0,52.0,1250.0
8.0,10.79084,106.7107,2.0,1.0,67.0,1700.0
