location,geo_lat,geo_long,number_of_floors,surface_size,price
2.0,10.7823665568497,106.62797057937598,4.0,104.0,7000.0
2.0,10.7885586,106.62278379999998,3.0,103.5,6000.0
2.0,10.782703472890116,106.62689076322931,5.0,120.0,8500.0
2.0,10.8020102156719,106.63390692062399,4.0,72.0,7500.0
2.0,10.802094525486766,106.63407858200071,3.0,64.0,7000.0
2.0,10.7775109,106.63501139999994,3.0,96.0,7700.0
2.0,10.77850450960686,106.63522788335877,3.0,96.0,7600.0
2.0,10.775389622379034,106.63413627672116,7.0,92.4,7000.0
2.0,10.7761770098928,106.63768010314902,2.0,228.0,7000.0
0.0,10.7908153,106.68267089999995,3.0,108.0,6500.0
2.0,10.7997882,106.63060399999995,3.0,68.0,7500.0
2.0,10.774918976161427,106.63540472142643,5.0,88.2,7300.0
2.0,10.77504136693534,106.6351088129669,3.0,608.8,20000.0
2.0,10.7765221491867,106.63959640370501,3.0,488.0,18000.0
2.0,10.7997882,106.63060399999995,2.0,72.0,7500.0
0.0,10.785724816281894,106.68825387954735,4.0,64.6,6400.0
0.0,10.78945705913,106.68425338493398,2.0,76.0,5700.0
0.0,10.7754277,106.68992219999996,1.0,72.0,6900.0
2.0,10.7616811,106.63243169999998,1.0,336.0,12000.0
2.0,10.7616811,106.63243169999998,3.0,160.0,14000.0
0.0,10.7908153,106.68267089999995,1.0,72.0,6900.0
2.0,10.7571277246842,106.62942762590296,3.0,160.0,14000.0
2.0,10.791781211879135,106.63761752886649,5.0,160.0,10500.0
2.0,10.7616811,106.63243169999998,2.0,87.2,12700.0
2.0,10.7991589,106.62385159999997,1.0,150.0,5300.0
2.0,10.8074258,106.62193219999995,2.0,245.0,11500.0
0.0,10.7700738,106.68255180000006,1.0,68.0,8000.0
0.0,10.788353,106.6769296,4.0,80.0,8400.0
0.0,10.7734821,106.68181950000007,3.0,30.0,3500.0
0.0,10.7899325,106.68010809999998,2.0,127.2,7600.0
2.0,10.8083563,106.6177768,4.0,170.5,11500.0
0.0,10.788353,106.6769296,3.0,92.5,6400.0
0.0,10.7734821,106.68181950000007,4.0,30.0,3500.0
0.0,10.7734357,106.68033600000001,4.0,30.0,3500.0
0.0,10.7734821,106.68181950000007,4.0,30.0,3500.0
0.0,10.7734357,106.68033600000001,4.0,30.0,3500.0
0.0,10.7734821,106.68181950000007,4.0,30.0,3500.0
0.0,10.7734821,106.68181950000007,4.0,30.0,3500.0
0.0,10.7734357,106.68033600000001,4.0,30.0,3500.0
0.0,10.7734357,106.68033600000001,3.0,30.0,3500.0
0.0,10.7734821,106.68181950000007,3.0,30.0,3500.0
2.0,10.8018060088221,106.62545527829593,6.0,192.0,11500.0
0.0,10.775658,106.68923589999997,3.0,27.9,3300.0
0.0,10.777483,106.68909610000003,2.0,38.4,3200.0
0.0,10.777483,106.68909610000003,4.0,50.4,4500.0
0.0,10.7899325,106.68010809999998,3.0,48.0,3800.0
0.0,10.7734821,106.68181950000007,3.0,35.9,3800.0
0.0,10.8230989,106.6296638,4.0,36.0,4300.0
0.0,10.7853612,106.68886010000006,3.0,29.0,3000.0
0.0,10.7791166,106.6973385,2.0,125.0,4000.0
0.0,10.7734821,106.68181950000007,3.0,35.9,3800.0
0.0,10.7700738,106.68255180000006,3.0,44.0,4500.0
0.0,10.777483,106.68909610000003,4.0,50.4,4500.0
0.0,10.7851579,106.68379800000002,2.0,54.0,4800.0
0.0,10.7700738,106.68255180000006,2.0,52.0,4900.0
0.0,10.777483,106.68909610000003,5.0,53.2,4500.0
0.0,10.777483,106.68909610000003,3.0,56.0,4100.0
0.0,10.777483,106.68909610000003,5.0,53.2,4500.0
0.0,10.7847592,106.68889089999993,3.0,48.0,4300.0
0.0,10.7851579,106.68379800000002,2.0,48.0,4800.0
0.0,10.7851579,106.68379800000002,1.0,52.2,4800.0
0.0,10.7851579,106.68379800000002,2.0,48.0,4800.0
0.0,10.7830165,106.67858309999997,5.0,39.6,4200.0
0.0,10.7752565,106.68636289999995,2.0,66.5,4800.0
0.0,10.7899325,106.68010809999998,1.0,47.7,3000.0
